GEN_BOTANIC;DENUMIRE_CULTURA;COD;Traduction;ASSOLIA;SCHEMA_PLATA_MASURA_SPRIJIN;SECTIUNE;Colonne1
;ALTE PLANTE INDUSTRIALE;214;Autres plantes industriel;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Arachis;ARAHIDE;215;Arachide;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Papaver;MAC;216;Pavot;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Ricinus;RICIN;217;Ricin;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Sesanum;SUSAN;218;Sésame;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Carthamus;?OFR?NELUL;219;Carthame;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Cannabis;CÂNEP? PENTRU ULEI;220;Chanvre oléagineux;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Cannabis;CÂNEP? PENTRU ULEI;2207;Chanvre oléagineux;Arable other crop;SAPS, ANT1, SC7.5, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Solanum;CARTOFI TIMPURII;251;Pommes de terre primeurs;Potato;SAPS, ANT1, M10_P4, P4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Solanum;CARTOFI TIMPURII PENTRU INDUSTRIALIZARE;2517;Pommes de terre primeurs industriel;Potato;SAPS, ANT1, SC7.18, M10_P4, P4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Solanum;CARTOFI TÂRZII;253;Pommes de terre tardive;Potato;SAPS, ANT1, M10_P4, P4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Solanum;ALTE CULTURI DE CARTOFI;254;Autres pommes de terre;Potato;SAPS, ANT1, M10_P4, P4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Solanum;CARTOFI PENTRU S?MÂN??;255;Pommes de terre semence;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Solanum;CARTOFI PENTRU S?MÂN??;2557;Pommes de terre semence;Arable other crop;SAPS, ANT1, SC7.7, M10_P4, P4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Beta;SFECL? DE ZAH?R;301;Betterave sucrière;Sugar beet;SAPS, ANT1, ANT6, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Beta;SFECL? DE ZAH?R;3017;Betterave sucrière;Sugar beet;SAPS, ANT1, ANT6, SC7.9, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Beta;SFECL? FURAJER?;302;Betterave fourragère;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
;LEGUME PROASPETE anuale;351;Légumes frais annuel;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
;LEGUME PROASPETE perene;3510;Légumes frais péren;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Citrullus;PEPENI VERZI ?I GALBENI;352;Pastèques vertes et jaunes;Watermelon and melon;SAPS, ANT1, M10_P4, P4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Solanum;TOMATE;353;Tomate;Tomato (field);SAPS, ANT1, M10_P4, P4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Solanum;TOMATE CÂMP - INDUSTRIALIZARE;3537;Tomate industriel de plein champs;Tomato (field);SAPS, ANT1, SC7.10, M10_P4, P4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Cucumis;CASTRAVE?I;354;Concombres;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Cucumis;CASTRAVE?I CÂMP - INDUSTRIALIZARE;3547;Concombre industriel de plein champs;;SAPS, ANT1, SC7.11, M10_P4, P4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Solanum;TOMATE SOLARII;359;Tomate sous serre;Arable other crop;SAPS, ANT1, SC7.13.1, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Cucumis;CASTRAVETI SOLARII;360;Concombre sous serre;Arable other crop;SAPS, ANT1, SC7.13.2, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Capsicum;ARDEI SOLARII;361;Poivron sous serre;Arable other crop;SAPS, ANT1, SC7.13.3, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Brassica;VARZA SOLARII;362;Chou sous serre;Arable other crop;SAPS, ANT1, SC7.13.4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Solanum;VINETE SOLARII;363;Aubergine sous serre;Arable other crop;SAPS, ANT1, SC7.13.5, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Solanum;TOMATE SERE;355;Tomate sous serre chauffé;Arable other crop;SAPS, ANT1, SC7.12.1, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Cucumis;CASTRAVE?I SERE;356;Concombre sous serre chauffé;Arable other crop;SAPS, ANT1, SC7.12.2, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Capsicum;ARDEI SERE;357;Poivron sous serre chauffé;Arable other crop;SAPS, ANT1, SC7.12.3, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
Brassica;VARZ? SERE;358;Chou sous serre chauffé;Arable other crop;SAPS, ANT1, SC7.12.4, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
;FLORI ?I PLANTE ORNAMENTALE;400;Fleurs et plantes ornementales;Arable other crop;SAPS, ANT1, M10_P4, P4;I. TEREN ARABIL – TA;
;FLORI SI PLANTE ORNAMENTALE IN SERE;401;Fleurs et plantes ornementales sous serre chauffé;Arable other crop;SAPS, ANT1;I. TEREN ARABIL – TA;
;PAJI?TI TEMPORARE;450;Prairie temporaire;Arable other crop;SAPS, ANT1;I. TEREN ARABIL – TA;
;PLANTE DE NUTRE? (anuale);451;Plantes fourragère (annuel);Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
;MU?TAR + OV?Z;460;Moutarde + Avoine;Arable other crop;;I. TEREN ARABIL – TA (Culturi verzi);
;MU?TAR + PHACELIA;461;Moutarde + Phacélie;Arable other crop;;I. TEREN ARABIL – TA (Culturi verzi);
;MU?TAR + RAPI??;462;Moutarde + Colza;Arable other crop;;I. TEREN ARABIL – TA (Culturi verzi);
;LATIR + M?Z?RICHE DE TOAMN?;463;Gesse + Vesce d'hiver;Arable other crop;;I. TEREN ARABIL – TA (Culturi verzi);
;LATIR + OV?Z;464;Gesse + Avoine;Arable other crop;;I. TEREN ARABIL – TA (Culturi verzi);
;MAZ?RE + OV?Z;465;Pois + Avoine;Arable other crop;;I. TEREN ARABIL – TA (Culturi verzi);
;M?Z?RICHE DE TOAMN? + OV?Z;466;Vesce d'hiver + Avoine;Arable other crop;;I. TEREN ARABIL – TA (Culturi verzi);
;M?Z?RICHE DE TOAMN? + SECAR?;467;Vesce d'hiver + Seigle;Arable other crop;;I. TEREN ARABIL – TA (Culturi verzi);
;M?Z?RICHE DE TOAMN? + TRITICALE;468;Vesce d'hiver + Triticale;Arable other crop;;I. TEREN ARABIL – TA (Culturi verzi);
;LUPIN + TRIFOI;469;Lupin + Trèfle;Arable other crop;;I. TEREN ARABIL – TA (Culturi verzi);
;RAPI?? + TRITICALE;470;Colza + Triticale;Arable other crop;;I. TEREN ARABIL – TA (Culturi verzi);
;RAPI?? + SECAR?;471;Colza + Seigle;Arable other crop;;I. TEREN ARABIL – TA (Culturi verzi);
;LOT SEMINCER pentru culturi anuale;500;Semences pour annuelles;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, M11_S1_P2, M11_S2_P2, M11_S1_P5, M11_S2_P5, P5.1/P5.2/P5.5;I. TEREN ARABIL – TA;
;LOT SEMINCER pentru culturi perene;501;Semences pour pérennes;Arable other crop;SAPS, ANT1, M11_S1_P1, M11_S2_P1, M11_S1_P2, M11_S2_P2, M11_S1_P5, M11_S2_P5, P5.1/P5.2/P5.5;I. TEREN ARABIL – TA;
;ALTE CULTURI ÎN TEREN ARABIL (anuale);550;Autres cultures en terre arable (annuel);Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, M11_S1_P2, M11_S2_P2, P5.1, P5.2;I. TEREN ARABIL – TA;
;ALTE CULTURI ÎN TEREN ARABIL (perene);551;Autres cultures en terre arable (pérenne);Arable other crop;SAPS, ANT1, M11_S1_P1, M11_S2_P1, M11_S1_P2, M11_S2_P2, P5.1, P5.2;I. TEREN ARABIL – TA;
;TEREN NECULTIVAT;970;Terre non arable;Arable other crop;SAPS, M10_P4, P4;I. TEREN ARABIL – TA;
;TEREN SUB SERE ?I SOLARII - CULTIVAT;971;Terre cultivé sous serre;Arable other crop;SAPS, ANT1, M11_S1_P2, M11_S2_P2, P5.2;I. TEREN ARABIL – TA;
;TEREN SUB SERE ?I SOLARII - NECULTIVAT;972;Terre non cultivé sous serre;Arable other crop;SAPS;I. TEREN ARABIL – TA;
