"culture_id";"culture_name";"structure_id";"structure_name";"metacode"
"1616";"Colza";"57";"Chambre d'agriculture 28";"CZH"
"1617";"Seigle d'hiver";"57";"Chambre d'agriculture 28";"SGH"
"1618";"Sorgho";"57";"Chambre d'agriculture 28";"SOG"
"1620";"Tournesol";"57";"Chambre d'agriculture 28";"TRN"
"1621";"Betterave";"57";"Chambre d'agriculture 28";"BTN"
"1622";"Pomme de terre";"57";"Chambre d'agriculture 28";"PTC"
"1623";"Oignons";"57";"Chambre d'agriculture 28";"OIG"
"1624";"Maïs en sec";"57";"Chambre d'agriculture 28";"MIS"
"1625";"Maïs irrigué";"57";"Chambre d'agriculture 28";"MIS"
"1626";"Pois protéagineux d'hiver";"57";"Chambre d'agriculture 28";"PHI"
"1627";"Lin oléagineux d'hiver";"57";"Chambre d'agriculture 28";"LIH"
"1628";"Lin oléagineux de printemps";"57";"Chambre d'agriculture 28";"LIP"
"1629";"Lupin doux d'hiver";"57";"Chambre d'agriculture 28";"LDH"
"1630";"Jachère";"57";"Chambre d'agriculture 28";"JAC"
"1631";"Ray grass";"57";"Chambre d'agriculture 28";"PTR"
"1632";"Prairie permanente";"57";"Chambre d'agriculture 28";"PPH"
"1633";"Méteil";"57";"Chambre d'agriculture 28";"CPL"
"1634";"Avoine de printemps";"56";"Valotech";"AVP"
"1635";"Blé dur de printemps";"56";"Valotech";"BDP"
"1636";"Blé tendre de printemps";"56";"Valotech";"BTP"
"1637";"Sarrasin";"56";"Valotech";"SRS"
"1638";"Seigle de printemps";"56";"Valotech";"SGP"
"1639";"Triticale de printemps";"56";"Valotech";"TTP"
"1640";"Féverole de printemps";"56";"Valotech";"FVP"
"1641";"Lin oléagineux d'hiver";"56";"Valotech";"LIH"
"1642";"Lin oléagineux de printemps";"56";"Valotech";"LIP"
"1643";"Lupin doux d'hiver";"56";"Valotech";"LDH"
"1644";"Pois protéagineux de printemps";"56";"Valotech";"PPR"
"1645";"Trèfle";"56";"Valotech";"TRE"
"1646";"Orge de printemps";"56";"Valotech";"ORP"
"1647";"Lupin doux de printemps";"56";"Valotech";"LDP"
"1648";"Pois et haricot secs alimentation humaine";"56";"Valotech";"PHS"
"1649";"Pomme de terre";"56";"Valotech";"PTC"
"1650";"Betterave";"56";"Valotech";"BTN"
"1651";"Méteil";"42";"Assolia Direct";""
"1653";"Avoine copie";"4";"Assolia";"AVH"
"1656";"Carotte automne";"53";"Eureden";"CAR"
"1657";"Brocoli";"53";"Eureden";"CHU"
"1658";"Navet";"53";"Eureden";"NVT"
